,type,dir,id_labels,readable_labels
0,Mountain,Image/All_Cropped\Mountain\1.jpg,"{'09193705-n': 0.344296395778656, '09332890-n': 0.09276426583528519, '09468604-n': 0.09263430535793304, '03160309-n': 0.08630786836147308, '04532670-n': 0.037542253732681274, '09472597-n': 0.03203961253166199, '02859443-n': 0.029054705053567886, '04310018-n': 0.025502270087599754, '04389033-n': 0.020131537690758705, '04552348-n': 0.018111377954483032}","{'alp': 0.344296395778656, 'lakeside': 0.09276426583528519, 'valley': 0.09263430535793304, 'dam': 0.08630786836147308, 'viaduct': 0.037542253732681274, 'volcano': 0.03203961253166199, 'boathouse': 0.029054705053567886, 'steam locomotive': 0.025502270087599754, 'tank': 0.020131537690758705, 'warplane': 0.018111377954483032}"
1,Mountain,Image/All_Cropped\Mountain\10.jpg,"{'09468604-n': 0.34921252727508545, '09193705-n': 0.25682953000068665, '09472597-n': 0.10043308138847351, '04532670-n': 0.048260387033224106, '09246464-n': 0.025724098086357117, '04044716-n': 0.019288131967186928, '09399592-n': 0.014902554452419281, '02782093-n': 0.013838915154337883, '03781244-n': 0.013263761065900326, '02408429-n': 0.01203661784529686}","{'valley': 0.34921252727508545, 'alp': 0.25682953000068665, 'volcano': 0.10043308138847351, 'viaduct': 0.048260387033224106, 'cliff': 0.025724098086357117, 'radio telescope': 0.019288131967186928, 'promontory': 0.014902554452419281, 'balloon': 0.013838915154337883, 'monastery': 0.013263761065900326, 'water buffalo': 0.01203661784529686}"
2,Mountain,Image/All_Cropped\Mountain\11.jpg,"{'09472597-n': 0.7669864892959595, '09193705-n': 0.10891915112733841, '09468604-n': 0.06815570592880249, '03792972-n': 0.007827391847968102, '01698640-n': 0.007617623545229435, '09399592-n': 0.0037890507373958826, '02077923-n': 0.002957574324682355, '02417914-n': 0.00239457655698061, '09428293-n': 0.0018032693769782782, '02999410-n': 0.001323268050327897}","{'volcano': 0.7669864892959595, 'alp': 0.10891915112733841, 'valley': 0.06815570592880249, 'mountain tent': 0.007827391847968102, 'American alligator': 0.007617623545229435, 'promontory': 0.0037890507373958826, 'sea lion': 0.002957574324682355, 'ibex': 0.00239457655698061, 'seashore': 0.0018032693769782782, 'chain': 0.001323268050327897}"
3,Mountain,Image/All_Cropped\Mountain\12.jpg,"{'09468604-n': 0.48895254731178284, '09193705-n': 0.41202765703201294, '03792972-n': 0.020830810070037842, '09246464-n': 0.008698816411197186, '04258138-n': 0.008131535723805428, '09332890-n': 0.006051711272448301, '09472597-n': 0.005956146866083145, '04044716-n': 0.0042640771716833115, '09428293-n': 0.0031628799624741077, '04604644-n': 0.002690153429284692}","{'valley': 0.48895254731178284, 'alp': 0.41202765703201294, 'mountain tent': 0.020830810070037842, 'cliff': 0.008698816411197186, 'solar dish': 0.008131535723805428, 'lakeside': 0.006051711272448301, 'volcano': 0.005956146866083145, 'radio telescope': 0.0042640771716833115, 'seashore': 0.0031628799624741077, 'worm fence': 0.002690153429284692}"
4,Mountain,Image/All_Cropped\Mountain\13.jpg,"{'09246464-n': 0.7365226149559021, '09399592-n': 0.1785285323858261, '02980441-n': 0.04191497340798378, '09193705-n': 0.013007656671106815, '09468604-n': 0.007009152323007584, '03743016-n': 0.006073950324207544, '09428293-n': 0.005244113504886627, '03781244-n': 0.002756657311692834, '04606251-n': 0.0017490657046437263, '09332890-n': 0.0013665821170434356}","{'cliff': 0.7365226149559021, 'promontory': 0.1785285323858261, 'castle': 0.04191497340798378, 'alp': 0.013007656671106815, 'valley': 0.007009152323007584, 'megalith': 0.006073950324207544, 'seashore': 0.005244113504886627, 'monastery': 0.002756657311692834, 'wreck': 0.0017490657046437263, 'lakeside': 0.0013665821170434356}"
5,Mountain,Image/All_Cropped\Mountain\14.jpg,"{'09193705-n': 0.5093157887458801, '09472597-n': 0.2259204387664795, '09468604-n': 0.21146349608898163, '09246464-n': 0.02634202502667904, '09399592-n': 0.008480096235871315, '03792972-n': 0.00614569429308176, '03781244-n': 0.0023006147239357233, '03160309-n': 0.0012125151697546244, '02417914-n': 0.0010809291852638125, '09428293-n': 0.00042008550371974707}","{'alp': 0.5093157887458801, 'volcano': 0.2259204387664795, 'valley': 0.21146349608898163, 'cliff': 0.02634202502667904, 'promontory': 0.008480096235871315, 'mountain tent': 0.00614569429308176, 'monastery': 0.0023006147239357233, 'dam': 0.0012125151697546244, 'ibex': 0.0010809291852638125, 'seashore': 0.00042008550371974707}"
6,Mountain,Image/All_Cropped\Mountain\15.jpg,"{'09246464-n': 0.08097249269485474, '09468604-n': 0.06646076589822769, '09193705-n': 0.05969671905040741, '09399592-n': 0.056035641580820084, '09428293-n': 0.052465878427028656, '09472597-n': 0.03343181684613228, '04606251-n': 0.030715951696038246, '02066245-n': 0.030214419588446617, '02011460-n': 0.028139498084783554, '02077923-n': 0.024690434336662292}","{'cliff': 0.08097249269485474, 'valley': 0.06646076589822769, 'alp': 0.05969671905040741, 'promontory': 0.056035641580820084, 'seashore': 0.052465878427028656, 'volcano': 0.03343181684613228, 'wreck': 0.030715951696038246, 'grey whale': 0.030214419588446617, 'bittern': 0.028139498084783554, 'sea lion': 0.024690434336662292}"
7,Mountain,Image/All_Cropped\Mountain\16.jpg,"{'09428293-n': 0.13284479081630707, '09468604-n': 0.10905027389526367, '09288635-n': 0.1008976399898529, '09399592-n': 0.07896800339221954, '04044716-n': 0.0661478266119957, '09246464-n': 0.06148691102862358, '09421951-n': 0.05456063896417618, '09332890-n': 0.04332134872674942, '03160309-n': 0.042594678699970245, '02793495-n': 0.040855731815099716}","{'seashore': 0.13284479081630707, 'valley': 0.10905027389526367, 'geyser': 0.1008976399898529, 'promontory': 0.07896800339221954, 'radio telescope': 0.0661478266119957, 'cliff': 0.06148691102862358, 'sandbar': 0.05456063896417618, 'lakeside': 0.04332134872674942, 'dam': 0.042594678699970245, 'barn': 0.040855731815099716}"
8,Mountain,Image/All_Cropped\Mountain\2.jpg,"{'09421951-n': 0.45782727003097534, '09472597-n': 0.10876663774251938, '01664065-n': 0.08506178110837936, '09428293-n': 0.06953679770231247, '09399592-n': 0.03137872740626335, '04606251-n': 0.02256511151790619, '09332890-n': 0.022335423156619072, '04552348-n': 0.011413835920393467, '04592741-n': 0.010812995955348015, '09468604-n': 0.009516525082290173}","{'sandbar': 0.45782727003097534, 'volcano': 0.10876663774251938, 'loggerhead': 0.08506178110837936, 'seashore': 0.06953679770231247, 'promontory': 0.03137872740626335, 'wreck': 0.02256511151790619, 'lakeside': 0.022335423156619072, 'warplane': 0.011413835920393467, 'wing': 0.010812995955348015, 'valley': 0.009516525082290173}"
9,Mountain,Image/All_Cropped\Mountain\3.jpg,"{'09288635-n': 0.13967332243919373, '09332890-n': 0.09726288169622421, '02951358-n': 0.05273355916142464, '03160309-n': 0.04160482808947563, '04606251-n': 0.03901040554046631, '04389033-n': 0.025080576539039612, '03733281-n': 0.024120420217514038, '02859443-n': 0.02361643873155117, '02894605-n': 0.018072303384542465, '04604644-n': 0.01763099618256092}","{'geyser': 0.13967332243919373, 'lakeside': 0.09726288169622421, 'canoe': 0.05273355916142464, 'dam': 0.04160482808947563, 'wreck': 0.03901040554046631, 'tank': 0.025080576539039612, 'maze': 0.024120420217514038, 'boathouse': 0.02361643873155117, 'breakwater': 0.018072303384542465, 'worm fence': 0.01763099618256092}"
10,Mountain,Image/All_Cropped\Mountain\4.jpg,"{'03792972-n': 0.3008643388748169, '09472597-n': 0.20740967988967896, '09399592-n': 0.09817036241292953, '09468604-n': 0.0839168131351471, '09332890-n': 0.07702901214361191, '09193705-n': 0.06306856125593185, '04592741-n': 0.01966848224401474, '09428293-n': 0.015387059189379215, '02951358-n': 0.012590371072292328, '02814860-n': 0.011525490321218967}","{'mountain tent': 0.3008643388748169, 'volcano': 0.20740967988967896, 'promontory': 0.09817036241292953, 'valley': 0.0839168131351471, 'lakeside': 0.07702901214361191, 'alp': 0.06306856125593185, 'wing': 0.01966848224401474, 'seashore': 0.015387059189379215, 'canoe': 0.012590371072292328, 'beacon': 0.011525490321218967}"
11,Mountain,Image/All_Cropped\Mountain\5.jpg,"{'09193705-n': 0.4808183014392853, '03792972-n': 0.19241951406002045, '09468604-n': 0.12970280647277832, '09246464-n': 0.03802426904439926, '03457902-n': 0.030109146609902382, '09472597-n': 0.025913365185260773, '03160309-n': 0.024589069187641144, '09332890-n': 0.014891170896589756, '02951358-n': 0.007176260929554701, '09288635-n': 0.00663468474522233}","{'alp': 0.4808183014392853, 'mountain tent': 0.19241951406002045, 'valley': 0.12970280647277832, 'cliff': 0.03802426904439926, 'greenhouse': 0.030109146609902382, 'volcano': 0.025913365185260773, 'dam': 0.024589069187641144, 'lakeside': 0.014891170896589756, 'canoe': 0.007176260929554701, 'geyser': 0.00663468474522233}"
12,Mountain,Image/All_Cropped\Mountain\6.jpg,"{'09468604-n': 0.37426286935806274, '09246464-n': 0.08426373451948166, '09193705-n': 0.054321229457855225, '09399592-n': 0.04461389407515526, '09472597-n': 0.02590499073266983, '03792782-n': 0.01627240516245365, '09332890-n': 0.01402383204549551, '11879895-n': 0.01377938874065876, '04366367-n': 0.0117735480889678, '07802026-n': 0.011389411054551601}","{'valley': 0.37426286935806274, 'cliff': 0.08426373451948166, 'alp': 0.054321229457855225, 'promontory': 0.04461389407515526, 'volcano': 0.02590499073266983, 'mountain bike': 0.01627240516245365, 'lakeside': 0.01402383204549551, 'rapeseed': 0.01377938874065876, 'suspension bridge': 0.0117735480889678, 'hay': 0.011389411054551601}"
13,Mountain,Image/All_Cropped\Mountain\7.jpg,"{'09246464-n': 0.4575273394584656, '01990800-n': 0.08387441188097, '03160309-n': 0.08028258383274078, '09332890-n': 0.07854513823986053, '09193705-n': 0.05224829539656639, '09468604-n': 0.03802681341767311, '03042490-n': 0.031640637665987015, '09472597-n': 0.025826701894402504, '02437312-n': 0.01213020645081997, '09428293-n': 0.011469817720353603}","{'cliff': 0.4575273394584656, 'isopod': 0.08387441188097, 'dam': 0.08028258383274078, 'lakeside': 0.07854513823986053, 'alp': 0.05224829539656639, 'valley': 0.03802681341767311, 'cliff dwelling': 0.031640637665987015, 'volcano': 0.025826701894402504, 'Arabian camel': 0.01213020645081997, 'seashore': 0.011469817720353603}"
14,Mountain,Image/All_Cropped\Mountain\8.jpg,"{'09468604-n': 0.15913639962673187, '09399592-n': 0.13069921731948853, '09472597-n': 0.0942097008228302, '09428293-n': 0.06992126256227493, '09332890-n': 0.05020060017704964, '09421951-n': 0.047232937067747116, '09288635-n': 0.03562255576252937, '09246464-n': 0.031245829537510872, '09193705-n': 0.030908262357115746, '02398521-n': 0.02054053731262684}","{'valley': 0.15913639962673187, 'promontory': 0.13069921731948853, 'volcano': 0.0942097008228302, 'seashore': 0.06992126256227493, 'lakeside': 0.05020060017704964, 'sandbar': 0.047232937067747116, 'geyser': 0.03562255576252937, 'cliff': 0.031245829537510872, 'alp': 0.030908262357115746, 'hippopotamus': 0.02054053731262684}"
15,Mountain,Image/All_Cropped\Mountain\9.jpg,"{'09472597-n': 0.3615724742412567, '09468604-n': 0.20088988542556763, '09193705-n': 0.10454241931438446, '02814860-n': 0.10226679593324661, '03792972-n': 0.08593055605888367, '09332890-n': 0.0322817862033844, '09246464-n': 0.02797200344502926, '09399592-n': 0.017092028632760048, '09288635-n': 0.014720598235726357, '09428293-n': 0.011261246167123318}","{'volcano': 0.3615724742412567, 'valley': 0.20088988542556763, 'alp': 0.10454241931438446, 'beacon': 0.10226679593324661, 'mountain tent': 0.08593055605888367, 'lakeside': 0.0322817862033844, 'cliff': 0.02797200344502926, 'promontory': 0.017092028632760048, 'geyser': 0.014720598235726357, 'seashore': 0.011261246167123318}"
16,Beach,Image/All_Cropped\Beach\1.jpg,"{'09399592-n': 0.38304775953292847, '09428293-n': 0.3418317437171936, '09288635-n': 0.04552443325519562, '02814860-n': 0.04157275706529617, '09332890-n': 0.02549176849424839, '09468604-n': 0.02038423717021942, '02894605-n': 0.017514079809188843, '09246464-n': 0.016128404065966606, '02066245-n': 0.01432199589908123, '09193705-n': 0.012369265779852867}","{'promontory': 0.38304775953292847, 'seashore': 0.3418317437171936, 'geyser': 0.04552443325519562, 'beacon': 0.04157275706529617, 'lakeside': 0.02549176849424839, 'valley': 0.02038423717021942, 'breakwater': 0.017514079809188843, 'cliff': 0.016128404065966606, 'grey whale': 0.01432199589908123, 'alp': 0.012369265779852867}"
17,Beach,Image/All_Cropped\Beach\10.jpg,"{'09428293-n': 0.2711735963821411, '09288635-n': 0.13932529091835022, '02894605-n': 0.09772869199514389, '09421951-n': 0.07848281413316727, '04467665-n': 0.07318242639303207, '03160309-n': 0.033454157412052155, '09332890-n': 0.031059252098202705, '09472597-n': 0.027707001194357872, '04606251-n': 0.02481023781001568, '07802026-n': 0.020395824685692787}","{'seashore': 0.2711735963821411, 'geyser': 0.13932529091835022, 'breakwater': 0.09772869199514389, 'sandbar': 0.07848281413316727, 'trailer truck': 0.07318242639303207, 'dam': 0.033454157412052155, 'lakeside': 0.031059252098202705, 'volcano': 0.027707001194357872, 'wreck': 0.02481023781001568, 'hay': 0.020395824685692787}"
18,Beach,Image/All_Cropped\Beach\11.jpg,"{'04266014-n': 0.27430596947669983, '02894605-n': 0.11784360557794571, '09288635-n': 0.09730135649442673, '02814860-n': 0.09241238981485367, '09332890-n': 0.06510245054960251, '03773504-n': 0.0332036092877388, '09428293-n': 0.02996022440493107, '04008634-n': 0.02562682516872883, '03673027-n': 0.020731791853904724, '09472597-n': 0.02062789909541607}","{'space shuttle': 0.27430596947669983, 'breakwater': 0.11784360557794571, 'geyser': 0.09730135649442673, 'beacon': 0.09241238981485367, 'lakeside': 0.06510245054960251, 'missile': 0.0332036092877388, 'seashore': 0.02996022440493107, 'projectile': 0.02562682516872883, 'liner': 0.020731791853904724, 'volcano': 0.02062789909541607}"
19,Beach,Image/All_Cropped\Beach\12.jpg,"{'09428293-n': 0.5603233575820923, '09399592-n': 0.20486445724964142, '09332890-n': 0.08645930141210556, '02894605-n': 0.03784735128283501, '02814860-n': 0.02049102447926998, '09246464-n': 0.018190957605838776, '09421951-n': 0.012888094410300255, '02687172-n': 0.012159094214439392, '09468604-n': 0.01038424763828516, '03160309-n': 0.005370000377297401}","{'seashore': 0.5603233575820923, 'promontory': 0.20486445724964142, 'lakeside': 0.08645930141210556, 'breakwater': 0.03784735128283501, 'beacon': 0.02049102447926998, 'cliff': 0.018190957605838776, 'sandbar': 0.012888094410300255, 'aircraft carrier': 0.012159094214439392, 'valley': 0.01038424763828516, 'dam': 0.005370000377297401}"
20,Beach,Image/All_Cropped\Beach\13.jpg,"{'09428293-n': 0.17331254482269287, '09421951-n': 0.124440036714077, '02894605-n': 0.05415355786681175, '09332890-n': 0.03624199703335762, '09399592-n': 0.03318040072917938, '01665541-n': 0.029992293566465378, '02066245-n': 0.02745184116065502, '02814860-n': 0.020669031888246536, '03095699-n': 0.020043430849909782, '04606251-n': 0.01900128647685051}","{'seashore': 0.17331254482269287, 'sandbar': 0.124440036714077, 'breakwater': 0.05415355786681175, 'lakeside': 0.03624199703335762, 'promontory': 0.03318040072917938, 'leatherback turtle': 0.029992293566465378, 'grey whale': 0.02745184116065502, 'beacon': 0.020669031888246536, 'container ship': 0.020043430849909782, 'wreck': 0.01900128647685051}"
21,Beach,Image/All_Cropped\Beach\14.jpg,"{'09428293-n': 0.3006109595298767, '09421951-n': 0.07927188277244568, '04606251-n': 0.06098895147442818, '01665541-n': 0.0513656809926033, '02410509-n': 0.05042394623160362, '02704792-n': 0.04420899599790573, '09332890-n': 0.029519300907850266, '01664065-n': 0.023394888266921043, '02894605-n': 0.012083231471478939, '09399592-n': 0.011682048439979553}","{'seashore': 0.3006109595298767, 'sandbar': 0.07927188277244568, 'wreck': 0.06098895147442818, 'leatherback turtle': 0.0513656809926033, 'bison': 0.05042394623160362, 'amphibian': 0.04420899599790573, 'lakeside': 0.029519300907850266, 'loggerhead': 0.023394888266921043, 'breakwater': 0.012083231471478939, 'promontory': 0.011682048439979553}"
22,Beach,Image/All_Cropped\Beach\15.jpg,"{'09399592-n': 0.6427256464958191, '09428293-n': 0.21781887114048004, '09246464-n': 0.035971611738204956, '09256479-n': 0.03272542357444763, '09332890-n': 0.021078182384371758, '02814860-n': 0.011156563647091389, '01664065-n': 0.009381894953548908, '02894605-n': 0.004340736661106348, '04251144-n': 0.003827235661447048, '01978455-n': 0.0027938024140894413}","{'promontory': 0.6427256464958191, 'seashore': 0.21781887114048004, 'cliff': 0.035971611738204956, 'coral reef': 0.03272542357444763, 'lakeside': 0.021078182384371758, 'beacon': 0.011156563647091389, 'loggerhead': 0.009381894953548908, 'breakwater': 0.004340736661106348, 'snorkel': 0.003827235661447048, 'rock crab': 0.0027938024140894413}"
23,Beach,Image/All_Cropped\Beach\16.jpg,"{'01484850-n': 0.3238462209701538, '09428293-n': 0.07719756662845612, '02444819-n': 0.07016816735267639, '09399592-n': 0.06832199543714523, '01873310-n': 0.05441559851169586, '02077923-n': 0.046093348413705826, '02066245-n': 0.04421885311603546, '02058221-n': 0.0328201986849308, '01665541-n': 0.028781389817595482, '02363005-n': 0.020493805408477783}","{'great white shark': 0.3238462209701538, 'seashore': 0.07719756662845612, 'otter': 0.07016816735267639, 'promontory': 0.06832199543714523, 'platypus': 0.05441559851169586, 'sea lion': 0.046093348413705826, 'grey whale': 0.04421885311603546, 'albatross': 0.0328201986849308, 'leatherback turtle': 0.028781389817595482, 'beaver': 0.020493805408477783}"
24,Beach,Image/All_Cropped\Beach\2.jpg,"{'02859443-n': 0.2283281683921814, '02951358-n': 0.22617071866989136, '03991062-n': 0.054485104978084564, '09332890-n': 0.05086253210902214, '03899768-n': 0.04717224836349487, '02797295-n': 0.026827704161405563, '03457902-n': 0.01901797577738762, '03868242-n': 0.018337097018957138, '03891251-n': 0.015482937917113304, '02704792-n': 0.012224050238728523}","{'boathouse': 0.2283281683921814, 'canoe': 0.22617071866989136, 'pot': 0.054485104978084564, 'lakeside': 0.05086253210902214, 'patio': 0.04717224836349487, 'barrow': 0.026827704161405563, 'greenhouse': 0.01901797577738762, 'oxcart': 0.018337097018957138, 'park bench': 0.015482937917113304, 'amphibian': 0.012224050238728523}"
25,Beach,Image/All_Cropped\Beach\3.jpg,"{'09428293-n': 0.8088842630386353, '09421951-n': 0.06361287087202072, '09399592-n': 0.04820071533322334, '09332890-n': 0.017128048464655876, '02894605-n': 0.010549195110797882, '04606251-n': 0.010234055109322071, '03947888-n': 0.0034182670060545206, '03240683-n': 0.002969142282381654, '09246464-n': 0.002840349916368723, '09288635-n': 0.0021875184029340744}","{'seashore': 0.8088842630386353, 'sandbar': 0.06361287087202072, 'promontory': 0.04820071533322334, 'lakeside': 0.017128048464655876, 'breakwater': 0.010549195110797882, 'wreck': 0.010234055109322071, 'pirate': 0.0034182670060545206, 'drilling platform': 0.002969142282381654, 'cliff': 0.002840349916368723, 'geyser': 0.0021875184029340744}"
26,Beach,Image/All_Cropped\Beach\4.jpg,"{'09428293-n': 0.6779423952102661, '09332890-n': 0.033032145351171494, '09421951-n': 0.03111441247165203, '03240683-n': 0.02232477441430092, '02980441-n': 0.01733248122036457, '09288635-n': 0.015059137716889381, '02814860-n': 0.0139920674264431, '09399592-n': 0.011634974740445614, '03095699-n': 0.009805543348193169, '04335435-n': 0.008617418818175793}","{'seashore': 0.6779423952102661, 'lakeside': 0.033032145351171494, 'sandbar': 0.03111441247165203, 'drilling platform': 0.02232477441430092, 'castle': 0.01733248122036457, 'geyser': 0.015059137716889381, 'beacon': 0.0139920674264431, 'promontory': 0.011634974740445614, 'container ship': 0.009805543348193169, 'streetcar': 0.008617418818175793}"
27,Beach,Image/All_Cropped\Beach\5.jpg,"{'09428293-n': 0.6746147274971008, '09399592-n': 0.1583753526210785, '02687172-n': 0.036924030631780624, '03216828-n': 0.016996825113892555, '03673027-n': 0.016695760190486908, '02894605-n': 0.009049702435731888, '09332890-n': 0.007440436631441116, '09468604-n': 0.007221993990242481, '09246464-n': 0.007169083226472139, '09193705-n': 0.005305883474647999}","{'seashore': 0.6746147274971008, 'promontory': 0.1583753526210785, 'aircraft carrier': 0.036924030631780624, 'dock': 0.016996825113892555, 'liner': 0.016695760190486908, 'breakwater': 0.009049702435731888, 'lakeside': 0.007440436631441116, 'valley': 0.007221993990242481, 'cliff': 0.007169083226472139, 'alp': 0.005305883474647999}"
28,Beach,Image/All_Cropped\Beach\6.jpg,"{'09428293-n': 0.1749994307756424, '03891251-n': 0.05956173688173294, '03095699-n': 0.05785123631358147, '02690373-n': 0.05670984461903572, '03933933-n': 0.04316665232181549, '02814860-n': 0.03919823840260506, '03216828-n': 0.03154401108622551, '03240683-n': 0.024536296725273132, '03126707-n': 0.023039454594254494, '02951358-n': 0.021121937781572342}","{'seashore': 0.1749994307756424, 'park bench': 0.05956173688173294, 'container ship': 0.05785123631358147, 'airliner': 0.05670984461903572, 'pier': 0.04316665232181549, 'beacon': 0.03919823840260506, 'dock': 0.03154401108622551, 'drilling platform': 0.024536296725273132, 'crane': 0.023039454594254494, 'canoe': 0.021121937781572342}"
29,Beach,Image/All_Cropped\Beach\7.jpg,"{'09428293-n': 0.5491025447845459, '09421951-n': 0.3444795608520508, '09332890-n': 0.03874799981713295, '03899768-n': 0.008249725215137005, '03388043-n': 0.0043580071069300175, '09256479-n': 0.004065112676471472, '04493381-n': 0.0036231486592441797, '03956157-n': 0.003386586206033826, '02894605-n': 0.002748088911175728, '03733281-n': 0.002357990713790059}","{'seashore': 0.5491025447845459, 'sandbar': 0.3444795608520508, 'lakeside': 0.03874799981713295, 'patio': 0.008249725215137005, 'fountain': 0.0043580071069300175, 'coral reef': 0.004065112676471472, 'tub': 0.0036231486592441797, 'planetarium': 0.003386586206033826, 'breakwater': 0.002748088911175728, 'maze': 0.002357990713790059}"
30,Beach,Image/All_Cropped\Beach\8.jpg,"{'09428293-n': 0.4578912556171417, '09421951-n': 0.4074457287788391, '02894605-n': 0.07084080576896667, '09332890-n': 0.01683155633509159, '03933933-n': 0.016675889492034912, '03160309-n': 0.011114629916846752, '04311004-n': 0.004961799364537001, '09399592-n': 0.004777512047439814, '04366367-n': 0.0030000614933669567, '03216828-n': 0.002033775905147195}","{'seashore': 0.4578912556171417, 'sandbar': 0.4074457287788391, 'breakwater': 0.07084080576896667, 'lakeside': 0.01683155633509159, 'pier': 0.016675889492034912, 'dam': 0.011114629916846752, 'steel arch bridge': 0.004961799364537001, 'promontory': 0.004777512047439814, 'suspension bridge': 0.0030000614933669567, 'dock': 0.002033775905147195}"
31,Beach,Image/All_Cropped\Beach\9.jpg,"{'04311004-n': 0.5674335360527039, '09428293-n': 0.08811724185943604, '03388043-n': 0.08641315251588821, '04417672-n': 0.05351058393716812, '02951358-n': 0.0209237951785326, '04371430-n': 0.018664110451936722, '04532670-n': 0.015094151720404625, '04366367-n': 0.014859636314213276, '03933933-n': 0.012855559587478638, '09256479-n': 0.012473678216338158}","{'steel arch bridge': 0.5674335360527039, 'seashore': 0.08811724185943604, 'fountain': 0.08641315251588821, 'thatch': 0.05351058393716812, 'canoe': 0.0209237951785326, 'swimming trunks': 0.018664110451936722, 'viaduct': 0.015094151720404625, 'suspension bridge': 0.014859636314213276, 'pier': 0.012855559587478638, 'coral reef': 0.012473678216338158}"
32,Mug,Image/All_Cropped\Mug\1.jpg,"{'03937543-n': 0.9518323540687561, '03063599-n': 0.020289920270442963, '04357314-n': 0.0122417276725173, '03690938-n': 0.004692189861088991, '03733805-n': 0.00192545959725976, '03843555-n': 0.0017664075130596757, '02909870-n': 0.0012875422835350037, '02951585-n': 0.0012405433226376772, '04560804-n': 0.0008874950581230223, '07930864-n': 0.0004793455882463604}","{'pill bottle': 0.9518323540687561, 'coffee mug': 0.020289920270442963, 'sunscreen': 0.0122417276725173, 'lotion': 0.004692189861088991, 'measuring cup': 0.00192545959725976, 'oil filter': 0.0017664075130596757, 'bucket': 0.0012875422835350037, 'can opener': 0.0012405433226376772, 'water jug': 0.0008874950581230223, 'cup': 0.0004793455882463604}"
33,Mug,Image/All_Cropped\Mug\10.jpg,"{'03063689-n': 0.5107848048210144, '07930864-n': 0.14973558485507965, '04560804-n': 0.0866607129573822, '04398044-n': 0.04740417003631592, '03950228-n': 0.046007562428712845, '03063599-n': 0.03778049349784851, '03775546-n': 0.021964820101857185, '15075141-n': 0.02018388733267784, '03188531-n': 0.013630854897201061, '04522168-n': 0.01140261348336935}","{'coffeepot': 0.5107848048210144, 'cup': 0.14973558485507965, 'water jug': 0.0866607129573822, 'teapot': 0.04740417003631592, 'pitcher': 0.046007562428712845, 'coffee mug': 0.03778049349784851, 'mixing bowl': 0.021964820101857185, 'toilet tissue': 0.02018388733267784, 'diaper': 0.013630854897201061, 'vase': 0.01140261348336935}"
34,Mug,Image/All_Cropped\Mug\11.jpg,"{'03063599-n': 0.06299256533384323, '03063689-n': 0.05605747923254967, '04399382-n': 0.05400499328970909, '04127249-n': 0.047245439141988754, '03598930-n': 0.044928472489118576, '04026417-n': 0.032294757664203644, '02895154-n': 0.0316305048763752, '03047690-n': 0.03154600039124489, '03916031-n': 0.027911797165870667, '03950228-n': 0.027606843039393425}","{'coffee mug': 0.06299256533384323, 'coffeepot': 0.05605747923254967, 'teddy': 0.05400499328970909, 'safety pin': 0.047245439141988754, 'jigsaw puzzle': 0.044928472489118576, 'purse': 0.032294757664203644, 'breastplate': 0.0316305048763752, 'clog': 0.03154600039124489, 'perfume': 0.027911797165870667, 'pitcher': 0.027606843039393425}"
35,Mug,Image/All_Cropped\Mug\12.jpg,"{'07930864-n': 0.33300644159317017, '02948072-n': 0.2607344388961792, '15075141-n': 0.06585706770420074, '02815834-n': 0.03469526767730713, '03063689-n': 0.03014693409204483, '04131690-n': 0.026725849136710167, '03950228-n': 0.023642906919121742, '04560804-n': 0.023218801245093346, '03690938-n': 0.022517509758472443, '03887697-n': 0.019879896193742752}","{'cup': 0.33300644159317017, 'candle': 0.2607344388961792, 'toilet tissue': 0.06585706770420074, 'beaker': 0.03469526767730713, 'coffeepot': 0.03014693409204483, 'saltshaker': 0.026725849136710167, 'pitcher': 0.023642906919121742, 'water jug': 0.023218801245093346, 'lotion': 0.022517509758472443, 'paper towel': 0.019879896193742752}"
36,Mug,Image/All_Cropped\Mug\13.jpg,"{'07892512-n': 0.2136266976594925, '02823750-n': 0.2111012190580368, '07930864-n': 0.11040926724672318, '07920052-n': 0.09643411636352539, '04560804-n': 0.0548769012093544, '07932039-n': 0.04489266872406006, '03950228-n': 0.029298091307282448, '04579145-n': 0.026798585429787636, '03443371-n': 0.025487951934337616, '07584110-n': 0.024183066561818123}","{'red wine': 0.2136266976594925, 'beer glass': 0.2111012190580368, 'cup': 0.11040926724672318, 'espresso': 0.09643411636352539, 'water jug': 0.0548769012093544, 'eggnog': 0.04489266872406006, 'pitcher': 0.029298091307282448, 'whiskey jug': 0.026798585429787636, 'goblet': 0.025487951934337616, 'consomme': 0.024183066561818123}"
37,Mug,Image/All_Cropped\Mug\14.jpg,"{'04254120-n': 0.4076167047023773, '03950228-n': 0.20638419687747955, '07930864-n': 0.09793180972337723, '03063599-n': 0.07420653849840164, '03887697-n': 0.0453161895275116, '03063689-n': 0.03166293352842331, '04560804-n': 0.024081459268927574, '04557648-n': 0.02391071803867817, '15075141-n': 0.016747206449508667, '02948072-n': 0.014159445650875568}","{'soap dispenser': 0.4076167047023773, 'pitcher': 0.20638419687747955, 'cup': 0.09793180972337723, 'coffee mug': 0.07420653849840164, 'paper towel': 0.0453161895275116, 'coffeepot': 0.03166293352842331, 'water jug': 0.024081459268927574, 'water bottle': 0.02391071803867817, 'toilet tissue': 0.016747206449508667, 'candle': 0.014159445650875568}"
